臺灣 Taiwan,#genre#
Channel 8(備用),http://193.24.209.91/Smart.php?id=Ch8_mega
Suria,http://193.24.209.91/Smart.php?id=Suria
Suria(備用),http://193.24.209.91/Smart.php?id=Suria_backup
Channel U,http://193.24.209.91/Smart.php?id=ChannelU
Channel U(備用),http://193.24.209.91/Smart.php?id=ChU_mega
Vasantham,http://193.24.209.91/Smart.php?id=Vasantham
Vasantham(備用),http://193.24.209.91/Smart.php?id=Vasantham_mega
CNA,http://193.24.209.91/Smart.php?id=cna
CNA(備用),http://193.24.209.91/Smart.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,http://193.24.209.91/Smart.php?id=TVRI
RCTI,http://193.24.209.91/Smart.php?id=Rcti
Kompass TV,http://193.24.209.91/Smart.php?id=Kompass
Berita Satu,http://193.24.209.91/Smart.php?id=BeritaSatu_eko
Indosiar HD,http://193.24.209.91/Smart.php?id=Indosiar
AnTV,http://193.24.209.91/Smart.php?id=Antv
MNC TV,http://193.24.209.91/Smart.php?id=Mnctv
Trans 7,http://193.24.209.91/Smart.php?id=Trans7_eko
Transtv,http://193.24.209.91/Smart.php?id=Transtv
JTV,http://193.24.209.91/Smart.php?id=JTV_eko
Metro TV,http://193.24.209.91/Smart.php?id=metrotv_eko
Cinemax,http://193.24.209.91/Smart.php?id=Cinemax
SCTV,http://193.24.209.91/Smart.php?id=SCTV
Tvone,http://193.24.209.91/Smart.php?id=Tvone
TVMU,http://193.24.209.91/Smart.php?id=TVMU_eko
GTV,http://193.24.209.91/Smart.php?id=Gtv
RTV,http://193.24.209.91/Smart.php?id=Rtv
Jak TV,http://193.24.209.91/Smart.php?id=JakTV
iNews TV,http://193.24.209.91/Smart.php?id=Inewstv
Daai TV,http://193.24.209.91/Smart.php?id=DaaiTV
Net TV,http://193.24.209.91/Smart.php?id=NetTV
Animax,http://193.24.209.91/Smart.php?id=Animax
EWTN,http://193.24.209.91/Smart.php?id=Ewtn
AlQuran AlKareem,http://193.24.209.91/Smart.php?id=AlQuran
Tawaf TV,http://193.24.209.91/Smart.php?id=TawafTV
Vision Prime,http://193.24.209.91/Smart.php?id=VisionPrime
Muslim TV,http://193.24.209.91/Smart.php?id=MuslimTV
Music TV,http://193.24.209.91/Smart.php?id=MusicTV
Lifestyle&Fashion,http://193.24.209.91/Smart.php?id=Lifestyle
Entertain,http://193.24.209.91/Smart.php?id=Entertain
Hits,http://193.24.209.91/Smart.php?id=Hits
Warner TV,http://193.24.209.91/Smart.php?id=WarnerTV
SCM,http://193.24.209.91/Smart.php?id=Weishimovie
Thrill,http://193.24.209.91/Smart.php?id=Thrill
Fight Sports,http://193.24.209.91/Smart.php?id=Fs
Beinsports 2 HD,http://193.24.209.91/Smart.php?id=Bein2hd
Hits Movie,http://193.24.209.91/Smart.php?id=Hitsmovie
One,http://193.24.209.91/Smart.php?id=One_mega
tvN Movie,http://193.24.209.91/Smart.php?id=Tvnmovie
Celestial Movies HD,http://193.24.209.91/Smart.php?id=Celestialindo
Rock Actions,http://193.24.209.91/Smart.php?id=Rockaction
Rock Entertainment,http://193.24.209.91/Smart.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),http://193.24.209.91/Smart.php?id=j2_hkdavid
J2,http://193.24.209.91/Smart.php?id=j2_twn
RHK 31,http://193.24.209.91/Smart.php?id=rhk31_twn
RHK 32,http://193.24.209.91/Smart.php?id=rhk32_twn
TVB 星河,http://193.24.209.91/Smart.php?id=tvbxinhe_twn
VIUTV1,http://193.24.209.91/Smart.php?id=viu1_twn
Viu TV 69,http://193.24.209.91/Smart.php?id=viutv69_hkdavid
Viu6,http://193.24.209.91/Smart.php?id=viusix_twn
iNews 新聞台,http://193.24.209.91/Smart.php?id=inews_twn
無線財經資訊台,http://193.24.209.91/Smart.php?id=tvbcaijing_twn
珍珠台(備用),http://193.24.209.91/Smart.php?id=pearl_hkdavid
珍珠台,http://193.24.209.91/Smart.php?id=pearl_twn
翡翠台(備用),http://193.24.209.91/Smart.php?id=jade_mike
翡翠台,http://193.24.209.91/Smart.php?id=jade_twn
鳳凰衛視,http://193.24.209.91/Smart.php?id=phoenixtv_hd
鳳凰資訊,http://193.24.209.91/Smart.php?id=phoenixinfo_hd
鳳凰香港,http://193.24.209.91/Smart.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,http://193.24.209.91/Smart.php?id=cctv1
CCTV-2,http://193.24.209.91/Smart.php?id=cctv2
CCTV-3,http://193.24.209.91/Smart.php?id=cctv3
CCTV-4,http://193.24.209.91/Smart.php?id=cctv4
CCTV-4 ,http://193.24.209.91/Smart.php?id=Cctv4
CCTV-5,http://193.24.209.91/Smart.php?id=cctv5
CCTV-5+,http://193.24.209.91/Smart.php?id=cctv5plus
